TimeStep,TripID,Latitude,Longitude,Speed,Heading
1500,48,40.143225,-83.208608,72,312.0
1501,48,40.143435,-83.20887,72,312.0
1502,48,40.143643,-83.209128,72,312.0
1503,48,40.143853,-83.209392,72,312.0
1504,48,40.144065,-83.209658,73,312.0
1505,48,40.144277,-83.209925,73,312.0
1506,48,40.144487,-83.21019,72,312.0
1507,48,40.144698,-83.210455,72,312.0
1508,48,40.144908,-83.21072,71,312.0
1509,48,40.145117,-83.210985,71,312.0
1510,48,40.145325,-83.211248,71,312.0
1511,48,40.145533,-83.211513,71,312.0
1512,48,40.145738,-83.211775,71,312.0
1513,48,40.145945,-83.212038,71,312.0
1514,48,40.14615,-83.2123,71,312.0
1515,48,40.146357,-83.21256,71,312.0
1516,48,40.146562,-83.21282,71,312.0
1517,48,40.146767,-83.21308,71,312.0
1518,48,40.146972,-83.213338,71,312.0
1519,48,40.147177,-83.213598,71,312.0
1520,48,40.147382,-83.213858,71,312.0
1521,48,40.147588,-83.21412,71,312.0
1522,48,40.147793,-83.214382,71,312.0
1523,48,40.147997,-83.214645,71,312.0
1524,48,40.148198,-83.214908,70,312.0
1525,48,40.148402,-83.215167,70,312.0
1526,48,40.148603,-83.215425,70,312.0
1527,48,40.148803,-83.215682,70,312.0
1528,48,40.149005,-83.215938,70,312.0
1529,48,40.149207,-83.216195,70,312.0
1530,48,40.149408,-83.216452,69,312.0
1531,48,40.14961,-83.216707,70,312.0
1532,48,40.14981,-83.21696,69,312.0
1533,48,40.150012,-83.217215,69,312.0
1534,48,40.150212,-83.217468,69,312.0
1535,48,40.150412,-83.217723,68,312.0
1536,48,40.15061,-83.217977,68,312.0
1537,48,40.15081,-83.218228,68,312.0
1538,48,40.15101,-83.218482,69,312.0
1539,48,40.151208,-83.218735,69,312.0
1540,48,40.151408,-83.21899,69,312.0
1541,48,40.151607,-83.219243,69,312.0
1542,48,40.151805,-83.219498,69,312.0
1543,48,40.152005,-83.219753,70,312.0
1544,48,40.152205,-83.220012,70,312.0
1545,48,40.152405,-83.220268,70,312.0
1546,48,40.152607,-83.220527,70,312.0
1547,48,40.15281,-83.220787,70,312.0
1548,48,40.153015,-83.221047,70,312.0
1549,48,40.153217,-83.221305,70,312.0
1550,48,40.153418,-83.221562,69,312.0
1551,48,40.15362,-83.22182,69,312.0
1552,48,40.15382,-83.222077,69,312.0
1553,48,40.15402,-83.222332,69,312.0
1554,48,40.15422,-83.222588,69,312.0
1555,48,40.15442,-83.222845,69,312.0
1556,48,40.154622,-83.223103,69,312.0
1557,48,40.154823,-83.223362,69,312.0
1558,48,40.155023,-83.223617,69,312.0
1559,48,40.155225,-83.223872,70,312.0
1560,48,40.155427,-83.224127,70,312.0
1561,48,40.155628,-83.224385,70,312.0
1562,48,40.155832,-83.224643,70,312.0
1563,48,40.156035,-83.224902,70,312.0
1564,48,40.156238,-83.22516,70,312.0
1565,48,40.156442,-83.225418,70,312.0
1566,48,40.156643,-83.225677,70,312.0
1567,48,40.156845,-83.225933,70,312.0
1568,48,40.157048,-83.226192,70,312.0
1569,48,40.15725,-83.226452,70,312.0
1570,48,40.157452,-83.22671,70,312.0
1571,48,40.157653,-83.22697,70,312.0
1572,48,40.157853,-83.227227,70,312.0
1573,48,40.158055,-83.227485,70,312.0
