Time,CarId,Longitude,Latitude,Speed,Heading,Class
92.10399928,859957,49.26015,4.056436,4.6,183.7,0
92.40399928,859957,49.260137,4.056436,5.17,181.6,0
92.70399928,859957,49.260122,4.056437,5.78,179.6,0
93.00399928,859957,49.260105,4.05644,6.39,175.6,0
93.30399928,859957,49.260087,4.056446,6.95,171.1,0
93.60399928,859957,49.260068,4.056453,7.59,166.3,0
93.90399928,859957,49.260047,4.056457,8.11,168.8,0
94.10399928,859957,49.260032,4.056457,8.44,173,0
94.30399928,859957,49.260016,4.056455,8.77,179.8,0
94.50399928,859957,49.26,4.056451,9.12,184.1,0
94.70399928,859957,49.259983,4.056448,9.52,186.9,0
94.90399928,859957,49.259966,4.056445,9.88,186.3,0
95.10399928,859957,49.259947,4.056442,10.33,185.8,0
95.40399928,859957,49.259919,4.056437,10.86,185.8,0
95.70399928,859957,49.259889,4.056431,11.39,185.8,0
96.00399928,859957,49.259857,4.056426,11.96,185.8,0
